GeneID	tau	highest	order
CM009931.2	0.91820889916124	ventriculus	ventriculus|malpighian tubules|male gonad|oocyte|testis|midgut|ovaries|head|gut|2nd thoracic ganglia|pylori|hemolymph|abdominal integument|nasonov gland|thoracic muscle|mushroom body|germline|unknown|thorax and abdomen|flight muscle and thoracic exoskeleton|antennal lobes|wings and thoracic dorsum|egg|brain|mandibular glands|royal jelly|antennae|fat body|eviscerated abdomen and fat body|pupae|rectum|hindgut|eviscerated abdomen with attached fat bodies and ovaries|antennal lobes and subaesophageal ganglion|larvae|hypopharyngeal glands|optic lobes|venom gland|thorax|head and thorax|wing disc|abdomen|eviscerated abdomen with attached fat bodies and inactive ovaries|embryo|semen|whole adult body|spermetheca
CM009932.2	0.845389740065575	ventriculus	ventriculus|malpighian tubules|male gonad|head|2nd thoracic ganglia|ovaries|testis|oocyte|mushroom body|abdominal integument|antennal lobes|midgut|unknown|wings and thoracic dorsum|nasonov gland|brain|pylori|germline|mandibular glands|hemolymph|antennae|gut|thoracic muscle|antennal lobes and subaesophageal ganglion|egg|fat body|eviscerated abdomen and fat body|rectum|flight muscle and thoracic exoskeleton|thorax and abdomen|royal jelly|hindgut|eviscerated abdomen with attached fat bodies and ovaries|pupae|venom gland|optic lobes|larvae|head and thorax|thorax|eviscerated abdomen with attached fat bodies and inactive ovaries|wing disc|hypopharyngeal glands|embryo|abdomen|semen|spermetheca|whole adult body
QIUM02000220.1	0.999241950090812	ovaries	ovaries|semen|spermetheca|germline|hindgut|pupae|antennae|thorax|midgut|thorax and abdomen|larvae|embryo|optic lobes|mushroom body|whole adult body|brain
CM009933.2	0.832345108061074	malpighian tubules	malpighian tubules|ventriculus|male gonad|head|testis|ovaries|2nd thoracic ganglia|oocyte|mushroom body|hemolymph|unknown|pylori|thoracic muscle|germline|antennal lobes|egg|wings and thoracic dorsum|abdominal integument|brain|midgut|nasonov gland|antennae|mandibular glands|gut|antennal lobes and subaesophageal ganglion|pupae|eviscerated abdomen and fat body|fat body|rectum|thorax and abdomen|hindgut|larvae|royal jelly|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and ovaries|optic lobes|thorax|venom gland|hypopharyngeal glands|wing disc|semen|head and thorax|eviscerated abdomen with attached fat bodies and inactive ovaries|spermetheca|abdomen|embryo|whole adult body
CM009934.2	0.818579504673633	venom gland	venom gland|ventriculus|malpighian tubules|oocyte|wings and thoracic dorsum|male gonad|abdominal integument|ovaries|unknown|testis|head|eviscerated abdomen and fat body|thorax and abdomen|nasonov gland|2nd thoracic ganglia|pylori|fat body|midgut|mushroom body|hemolymph|gut|head and thorax|eviscerated abdomen with attached fat bodies and ovaries|royal jelly|antennae|germline|mandibular glands|brain|antennal lobes|thoracic muscle|rectum|egg|pupae|flight muscle and thoracic exoskeleton|larvae|eviscerated abdomen with attached fat bodies and inactive ovaries|antennal lobes and subaesophageal ganglion|hindgut|thorax|optic lobes|wing disc|hypopharyngeal glands|abdomen|embryo|whole adult body|spermetheca|semen
CM009935.2	0.750570867100201	ovaries	ovaries|male gonad|malpighian tubules|ventriculus|pylori|oocyte|germline|head|thorax and abdomen|testis|abdominal integument|mandibular glands|2nd thoracic ganglia|hindgut|hemolymph|egg|mushroom body|unknown|antennae|nasonov gland|midgut|thoracic muscle|wings and thoracic dorsum|eviscerated abdomen and fat body|hypopharyngeal glands|antennal lobes|brain|gut|fat body|flight muscle and thoracic exoskeleton|royal jelly|eviscerated abdomen with attached fat bodies and ovaries|pupae|antennal lobes and subaesophageal ganglion|rectum|larvae|optic lobes|venom gland|head and thorax|wing disc|thorax|semen|eviscerated abdomen with attached fat bodies and inactive ovaries|abdomen|embryo|spermetheca|whole adult body
QIUM02000120.1	0.960843098332085	midgut	midgut|spermetheca|ovaries|semen|larvae|germline|malpighian tubules|ventriculus|hindgut|whole adult body|egg|gut|antennae|head|testis|thorax and abdomen|eviscerated abdomen with attached fat bodies and ovaries|abdomen|eviscerated abdomen and fat body|embryo|rectum|abdominal integument|thorax|pylori|optic lobes|brain|mushroom body
CM009936.2	0.858578846436836	oocyte	oocyte|ventriculus|malpighian tubules|head|hypopharyngeal glands|male gonad|ovaries|testis|mandibular glands|midgut|abdominal integument|pylori|2nd thoracic ganglia|gut|germline|hemolymph|nasonov gland|wings and thoracic dorsum|thoracic muscle|unknown|mushroom body|fat body|royal jelly|antennal lobes|egg|thorax and abdomen|brain|antennae|eviscerated abdomen and fat body|flight muscle and thoracic exoskeleton|hindgut|pupae|larvae|rectum|eviscerated abdomen with attached fat bodies and ovaries|antennal lobes and subaesophageal ganglion|wing disc|venom gland|head and thorax|optic lobes|thorax|eviscerated abdomen with attached fat bodies and inactive ovaries|abdomen|semen|spermetheca|whole adult body|embryo
QIUM02000122.1	0.977776268124652	larvae	larvae|spermetheca|hindgut|semen|ovaries|malpighian tubules|thoracic muscle|germline|whole adult body|ventriculus|head|antennae|thorax and abdomen|flight muscle and thoracic exoskeleton|testis|eviscerated abdomen and fat body|abdomen|pylori|brain|gut|midgut|mushroom body
CM009937.2	0.874284490610771	ventriculus	ventriculus|malpighian tubules|male gonad|head|oocyte|testis|midgut|2nd thoracic ganglia|pylori|ovaries|thoracic muscle|mushroom body|gut|hemolymph|antennal lobes|mandibular glands|flight muscle and thoracic exoskeleton|germline|unknown|antennae|brain|nasonov gland|abdominal integument|thorax and abdomen|eviscerated abdomen and fat body|wings and thoracic dorsum|fat body|rectum|antennal lobes and subaesophageal ganglion|eviscerated abdomen with attached fat bodies and ovaries|hindgut|egg|royal jelly|head and thorax|optic lobes|pupae|larvae|venom gland|eviscerated abdomen with attached fat bodies and inactive ovaries|abdomen|wing disc|hypopharyngeal glands|thorax|semen|spermetheca|whole adult body|embryo
