GeneID	tau	highest	order
CM009931.2	0.791655320338223	embryos	embryos|testicles|unknown|gonadal|embryo|midgut|whole embryos|oocyte|head and thorax|brain|queen germline|head|thorax|gut|pylori|ovaries|not applicable|second thoracic ganglia|hemolymph|abdomen|thoracic muscle|abdominal integument|eviscerated abdomen and fat body|flight muscle and thoracic exoskeleton|nasonov gland|whole larvae|mushroom body|whole larva|antennal lobes|egg|wings and thoracic dorsum|thorax and abdomen|mandibular glands|antennae|whole body larvae|eviscerated abdomen with attached fat bodies|testis|whole pupae|hindgut|rectum|venom system|intestine|eviscerated abdomen with attached fat bodies and active ovaries|antennal lobes and subaesophageal ganglion|optic lobes|hypopharyngeal glands|worker embryo|drone germline|wing disc|venom gland|fat body|spermethecia_mated|larval head|eviscerated abdomen with attached fat bodies and inactive ovaries|drone thorax|drone embryo|semen|whole body
CM009932.2	0.754943128618924	embryos	embryos|testicles|gonadal|unknown|head|embryo|brain|head and thorax|whole embryos|second thoracic ganglia|midgut|queen germline|oocyte|abdominal integument|eviscerated abdomen and fat body|mushroom body|antennal lobes|wings and thoracic dorsum|nasonov gland|abdomen|mandibular glands|pylori|thorax|hemolymph|antennae|gut|not applicable|flight muscle and thoracic exoskeleton|antennal lobes and subaesophageal ganglion|eviscerated abdomen with attached fat bodies|thoracic muscle|testis|egg|rectum|whole larvae|venom system|hindgut|whole larva|eviscerated abdomen with attached fat bodies and active ovaries|whole body larvae|ovaries|thorax and abdomen|venom gland|optic lobes|whole pupae|intestine|drone germline|worker embryo|fat body|eviscerated abdomen with attached fat bodies and inactive ovaries|wing disc|larval head|spermethecia_mated|hypopharyngeal glands|drone thorax|drone embryo|semen|whole body
QIUM02000220.1	0.995224057267765	ovaries	ovaries|queen germline|semen|spermethecia_mated|hindgut|unknown|antennae|worker embryo|thorax and abdomen|eviscerated abdomen with attached fat bodies and active ovaries|whole pupae|drone embryo|optic lobes|mushroom body|whole body
CM009933.2	0.839334221704115	embryos	embryos|testicles|unknown|embryo|whole embryos|gonadal|brain|head|head and thorax|queen germline|oocyte|second thoracic ganglia|hemolymph|pylori|mushroom body|egg|antennal lobes|thoracic muscle|wings and thoracic dorsum|abdominal integument|thorax|midgut|nasonov gland|antennae|whole larvae|whole body larvae|mandibular glands|whole larva|whole pupae|eviscerated abdomen and fat body|abdomen|gut|not applicable|eviscerated abdomen with attached fat bodies|flight muscle and thoracic exoskeleton|antennal lobes and subaesophageal ganglion|venom system|testis|hindgut|rectum|thorax and abdomen|optic lobes|eviscerated abdomen with attached fat bodies and active ovaries|ovaries|intestine|venom gland|wing disc|worker embryo|larval head|drone germline|hypopharyngeal glands|spermethecia_mated|fat body|eviscerated abdomen with attached fat bodies and inactive ovaries|semen|drone thorax|drone embryo|whole body
CM009934.2	0.855914591419122	venom system	venom system|embryos|venom gland|testicles|head and thorax|unknown|oocyte|embryo|wings and thoracic dorsum|eviscerated abdomen and fat body|whole embryos|gonadal|abdominal integument|eviscerated abdomen with attached fat bodies|thorax and abdomen|brain|head|midgut|abdomen|queen germline|nasonov gland|pylori|second thoracic ganglia|eviscerated abdomen with attached fat bodies and active ovaries|hemolymph|gut|mushroom body|thorax|not applicable|antennae|mandibular glands|antennal lobes|whole larvae|egg|testis|flight muscle and thoracic exoskeleton|whole larva|whole body larvae|rectum|thoracic muscle|whole pupae|eviscerated abdomen with attached fat bodies and inactive ovaries|fat body|ovaries|hindgut|antennal lobes and subaesophageal ganglion|intestine|wing disc|optic lobes|drone germline|worker embryo|larval head|spermethecia_mated|hypopharyngeal glands|drone thorax|drone embryo|semen|whole body
CM009935.2	0.879014853467936	embryos	embryos|ovaries|gonadal|testicles|embryo|pylori|head and thorax|whole embryos|queen germline|unknown|oocyte|head|thorax and abdomen|brain|abdominal integument|abdomen|mandibular glands|eviscerated abdomen and fat body|hindgut|drone germline|hemolymph|second thoracic ganglia|egg|eviscerated abdomen with attached fat bodies|antennae|nasonov gland|mushroom body|whole larvae|whole larva|wings and thoracic dorsum|thorax|midgut|hypopharyngeal glands|antennal lobes|whole body larvae|thoracic muscle|gut|flight muscle and thoracic exoskeleton|not applicable|venom system|whole pupae|testis|eviscerated abdomen with attached fat bodies and active ovaries|antennal lobes and subaesophageal ganglion|rectum|intestine|worker embryo|optic lobes|drone thorax|wing disc|venom gland|fat body|larval head|eviscerated abdomen with attached fat bodies and inactive ovaries|semen|spermethecia_mated|drone embryo|whole body
QIUM02000120.1	0.999692515458448	unknown	unknown|ovaries|semen|spermethecia_mated|queen germline|midgut|hindgut|whole body|antennae|whole larva|eviscerated abdomen and fat body|head|thorax and abdomen|whole embryos|testis|not applicable|drone thorax|embryos|eviscerated abdomen with attached fat bodies and active ovaries|worker embryo|eviscerated abdomen with attached fat bodies|fat body|drone embryo|intestine|gut|rectum|brain|whole pupae|abdominal integument|optic lobes|pylori|mushroom body
CM009936.2	0.856466401366357	oocyte	oocyte|embryos|head|unknown|hypopharyngeal glands|testicles|gonadal|whole embryos|embryo|head and thorax|queen germline|ovaries|midgut|brain|mandibular glands|abdominal integument|pylori|gut|second thoracic ganglia|hemolymph|nasonov gland|wings and thoracic dorsum|not applicable|thoracic muscle|thorax|whole larvae|eviscerated abdomen and fat body|whole larva|whole body larvae|mushroom body|abdomen|egg|antennal lobes|flight muscle and thoracic exoskeleton|thorax and abdomen|eviscerated abdomen with attached fat bodies|antennae|hindgut|whole pupae|testis|venom system|rectum|eviscerated abdomen with attached fat bodies and active ovaries|intestine|wing disc|antennal lobes and subaesophageal ganglion|optic lobes|drone germline|worker embryo|venom gland|larval head|fat body|eviscerated abdomen with attached fat bodies and inactive ovaries|spermethecia_mated|drone thorax|semen|drone embryo|whole body
QIUM02000122.1	0.999812290265618	unknown	unknown|hindgut|semen|spermethecia_mated|ovaries|queen germline|whole body|thoracic muscle|antennae|head and thorax|testicles|whole larva|head|flight muscle and thoracic exoskeleton|midgut|thorax and abdomen|eviscerated abdomen with attached fat bodies|brain|not applicable|pylori|worker embryo|intestine|mushroom body
CM009937.2	0.797981251511438	unknown	unknown|testicles|embryos|gonadal|head and thorax|embryo|head|whole embryos|oocyte|brain|queen germline|midgut|pylori|second thoracic ganglia|eviscerated abdomen and fat body|flight muscle and thoracic exoskeleton|abdomen|gut|thoracic muscle|hemolymph|antennal lobes|mandibular glands|mushroom body|not applicable|thorax|whole larvae|whole larva|antennae|eviscerated abdomen with attached fat bodies|nasonov gland|abdominal integument|wings and thoracic dorsum|thorax and abdomen|rectum|testis|whole body larvae|hindgut|egg|antennal lobes and subaesophageal ganglion|eviscerated abdomen with attached fat bodies and active ovaries|intestine|optic lobes|venom system|whole pupae|fat body|ovaries|drone germline|wing disc|eviscerated abdomen with attached fat bodies and inactive ovaries|larval head|venom gland|drone thorax|hypopharyngeal glands|worker embryo|spermethecia_mated|semen|whole body|drone embryo
